"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-09-26","9.40",,,"0.15","0.0","0.0","76","83","72","  290","  300",,"19.9","23.9","    1",,"    1",,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-09-27","11.41",,,"0.01","0.0","0.0","70","75","63","  360","   60",,"18.1","31.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-09-28","8.95",,,"0.83","0.0","0.0","63","66","58","   40","   40",,"25.1","31.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-09-29","6.71",,,"0.00","0.0","0.0","66","75","59","  330","  340",,"15.0","19.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-09-30","7.16",,,"0.00","0.0","0.0","65","73","58","  160","   40",,"15.0","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-01","6.93",,,"0.00","0.0","0.0","70","78","65","  220","  240",,"16.1","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-02","9.62",,,"0.56","0.0","0.0","73","79","67","  310","  310",,"23.0","28.0","    1",,"    1",,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-03","8.05",,,"0.00","0.0","0.0","71","77","66","  320","  320",,"18.1","21.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-04","5.59",,,"0.04","0.0","0.0","70","79","64","  350","  350",,"14.1","19.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-05","9.62",,,"0.00","0.0","0.0","69","73","61","   20","   30",,"19.9","27.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-06","8.05",,,"0.00","0.0","0.0","66","70","64","  160","  150",,"15.0","18.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-07","5.14",,,"0.00","0.0","0.0","73","82","70","  220","  240",,"13.0","17.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-08","10.07",,,"0.00","0.0","0.0","70","73","65","   90","   90",,"16.1","19.0","    1",,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-09","7.38",,,"0.00","0.0","0.0","71","78","67","  180","  180",,"15.0","17.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-10","7.83",,,"0.00","0.0","0.0","75","82","71","  170","  170",,"16.1","19.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-11","8.05",,,"0.63","0.0","0.0","74","80","71","  180","  180",,"21.9","30.0","    1",,"    1",,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-12","17.22",,,"0.52","0.0","0.0","65","72","54","  320","  310",,"29.1","36.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-13","10.51",,,"0.05","0.0","0.0","54","59","49","  320","  310",,"18.1","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-14","6.71",,,"0.00","0.0","0.0","55","60","51","  230","  220",,"13.0","16.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-15","10.96",,,"0.04","0.0","0.0","60","70","55","  290","  300",,"29.1","40.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-16","12.97",,,"0.02","0.0","0.0","58","62","49","  300","  300",,"30.0","40.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-17","16.11",,,"0.00","0.0","0.0","56","64","48","  310","  260",,"29.1","36.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-18","14.76",,,"0.00","0.0","0.0","49","53","44","  320","  320",,"23.9","34.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-19","10.96",,,"0.00","0.0","0.0","52","63","45","  210","  200",,"21.0","31.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-20","11.63",,,"0.07","0.0","0.0","59","65","54","  310","  260",,"21.0","27.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-21","18.34",,,"0.00","0.0","0.0","51","54","43","  330","  330",,"35.1","42.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-22","9.62",,,"0.00","0.0","0.0","47","52","42","  250","  260",,"17.0","21.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-23","10.74",,,"0.00","0.0","0.0","55","67","47","  300","  300",,"25.9","33.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-24","18.12",,,"0.00","0.0","0.0","52","56","46","  290","  290",,"29.1","34.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-25","14.76",,,"0.00","0.0","0.0","48","52","43","  300","  300",,"21.9","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-26","7.61",,,"0.00","0.0","0.0","45","50","42","   70","   80",,"17.0","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-27","22.37",,,"1.01","0.0","0.0","49","53","45","   50","   50",,"40.9","50.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-28","9.40",,,"0.05","0.0","0.0","50","54","47","  260","  270",,"17.0","21.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-29","12.75",,,"0.03","0.0","0.0","53","58","49","  300","  250",,"21.9","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-30","12.53",,,"0.00","0.0","0.0","50","57","45","  310","  310",,"21.9","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-10-31","8.05",,,"0.00","0.0","0.0","55","64","45","  170","  160",,"21.9","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-01","7.61",,,"0.00","0.0","0.0","62","71","57","  170","  180",,"14.1","17.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-02","11.63",,,"0.10","0.0","0.0","65","69","63","  180","  180",,"21.9","32.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-03","15.66",,,"0.23","0.0","0.0","60","66","51","  270","  280",,"35.1","46.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-04","7.61",,,"0.00","0.0","0.0","51","57","46","  300","  300",,"16.1","21.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-05","13.20",,,"0.35","0.0","0.0","51","55","49","   50","   50",,"23.9","31.1","    1",,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-06","7.83",,,"0.83","0.0","0.0","54","61","50","  290","  280",,"29.1","35.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-07","13.42",,,"0.00","0.0","0.0","59","65","53","  240","  240",,"23.0","31.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-08","10.51",,,"0.00","0.0","0.0","54","58","46","  290","  300",,"19.9","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-09","12.75",,,"0.72","0.0","0.0","48","54","43","   60","   70",,"23.0","29.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-10","16.55",,,"0.02","0.0","0.0","48","51","38","  290","  280",,"30.0","40.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-11","10.51",,,"0.00","0.0","0.0","41","48","36","  300","  300",,"21.0","25.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-12","5.37",,,"0.04","0.0","0.0","44","50","38","  160","  240",,"10.1","16.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-13","13.65",,,"1.11","0.0","0.0","48","53","43","  310","  320",,"25.1","31.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-14","17.00",,,"0.00","0.0","0.0","40","43","33","  300","  300",,"29.1","34.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-15","15.66",,,"0.98","4.7","0.0","33","41","30","   70","   60",,"36.9","46.1","    1",,,"    1",,"    1",,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-16","19.69",,,"0.29","0.0","1.2","41","46","36","   70","   70",,"33.1","42.9","    1",,,"    1",,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-17","13.20",,,"0.00","0.0","0.0","44","48","40","  310","  310",,"23.0","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-18","7.38",,,"0.00","0.0","0.0","43","44","40","  320","  320",,"16.1","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-19","5.14",,,"0.00","0.0","0.0","46","52","40","   60","   60",,"12.1","14.1",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-20","12.08",,,"0.00","0.0","0.0","46","47","41","  300","  310",,"25.1","36.0","    1",,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-21","15.66",,,"0.00","0.0","0.0","42","45","28","  330","  320",,"33.1","44.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-22","18.57",,,"0.00","0.0","0.0","27","29","19","  310","  330",,"32.0","42.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-23","7.38",,,"0.00","0.0","0.0","23","32","17","  350","  200",,"15.0","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-24","10.96",,,"0.87","0.0","0.0","36","49","32","   40","   50",,"32.0","38.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-25","10.29",,,"0.66","0.0","0.0","50","56","47","  330","   40",,"29.1","38.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-26","13.87",,,"0.86","0.0","0.0","49","54","44","   60","   60",,"31.1","42.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-27","17.00",,,"0.02","0.0","0.0","45","48","38","  270","  260",,"30.0","38.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-28","19.46",,,"0.00","0.0","0.0","40","42","37","  290","  310",,"33.1","42.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-29","19.46",,,"0.00","0.0","0.0","43","46","40","  320","  320",,"32.0","38.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-11-30","5.37",,,"0.01","0.0","0.0","41","43","39","  300","  290",,"15.0","18.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-01","6.26",,,"0.04","0.0","0.0","42","45","38","  100","  110",,"13.0","15.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-02","7.83",,,"0.80","0.0","0.0","46","57","42","   50","   50",,"16.1","19.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-03","14.54",,,"0.00","0.0","0.0","54","56","46","  270","  270",,"25.9","35.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-04","15.43",,,"0.00","0.0","0.0","42","46","31","  310","  310",,"25.1","33.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-05","9.17",,,"0.00","0.0","0.0","33","39","29","   40","   50",,"18.1","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-06","12.97",,,"0.00","0.0","0.0","36","41","32","  240","  240",,"21.0","27.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-07","14.99",,,"0.00","0.0","0.0","38","40","29","  310","  290",,"23.0","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-08","10.51",,,"0.00","0.0","0.0","31","36","26","  250","  250",,"19.9","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-09","6.71",,,"0.00","0.0","0.0","33","37","30","  310","  310",,"15.0","19.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-10","9.84",,,"0.00","0.0","0.0","35","40","30","  360","   20",,"16.1","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-11","8.05",,,"0.00","0.0","0.0","35","41","30","  300","  300",,"19.9","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-12","11.63",,,"0.00","0.0","0.0","37","41","34","  310","  330",,"21.0","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-13","12.30",,,"0.07","0.0","0.0","36","42","33","   40","   60",,"19.9","25.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-14","7.38",,,"0.10","0.0","0.0","43","52","40","   60","   60",,"17.0","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-15","8.72",,,"0.14","0.0","0.0","48","50","46","   60","   70",,"23.9","29.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-16","19.69",,,"1.29","0.0","0.0","42","46","36","   50","   50",,"31.1","36.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-17","17.90",,,"0.00","0.0","0.0","41","46","38","  310","  320",,"36.0","45.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-18","20.80",,,"0.00","0.0","0.0","36","41","29","  320","  340",,"38.0","48.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-19","7.83",,,"0.00","0.0","0.0","33","42","27","  320","  310",,"16.1","21.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-20","8.05",,,"0.24","0.0","0.0","40","46","34","   50","   60",,"19.9","23.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-21","15.88",,,"1.69","0.0","0.0","54","62","44","  160","  150",,"35.1","44.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-22","19.01",,,"0.00","0.0","0.0","49","53","41","  300","  290",,"32.0","44.1","    1",,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-23","10.07",,,"0.00","0.0","0.0","40","44","37","  280","  300",,"23.9","31.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-24","9.84",,,"0.09","0.0","0.0","39","43","36","  260","  250",,"21.9","30.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-25","12.97",,,"0.00","0.0","0.0","38","41","34","  320","  290",,"19.9","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-26","9.62",,,"0.00","0.0","0.0","37","43","33","  260","  260",,"17.0","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-27","9.62",,,"0.00","0.0","0.0","41","43","39","  320","  320",,"16.1","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-28","9.40",,,"1.13","0.0","0.0","47","58","43","  180","  180",,"21.0","28.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-29","15.43",,,"0.00","0.0","0.0","52","57","40","  310","  310",,"33.1","40.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-30","6.93",,,"0.00","0.0","0.0","38","40","32","  320","  310",,"16.1","19.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2018-12-31","7.83",,,"1.31","0.0","0.0","40","47","35","  120","  130",,"18.1","23.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-01","17.00",,,"0.08","0.0","0.0","51","60","40","  300","  300",,"36.0","45.0","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-02","8.50",,,"0.00","0.0","0.0","39","41","35","  310","  310",,"19.9","23.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-03","10.51",,,"0.00","0.0","0.0","41","45","39","  330","  330",,"23.9","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-04","9.84",,,"0.00","0.0","0.0","41","47","37","  220","  230",,"18.1","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-05","13.65",,,"0.45","0.0","0.0","44","47","42","  290","  290",,"23.9","30.0","    1","    1",,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-06","17.22",,,"0.00","0.0","0.0","45","49","32","  330","  310",,"36.0","45.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-07","9.84",,,"0.00","0.0","0.0","31","35","26","  330","  320",,"23.0","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-08","5.59",,,"0.21","0.0","0.0","40","47","35","  160","  150",,"13.0","16.1","    1","    1",,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-09","20.80",,,"0.07","0.0","0.0","44","46","35","  300","  310",,"33.1","42.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-10","22.82",,,"0.00","0.0","0.0","35","35","30","  320","  300",,"36.0","51.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-11","19.01",,,"0.00","0.0","0.0","28","32","22","  320","  320",,"31.1","40.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-12","8.05",,,"0.00","0.0","0.0","26","34","21","  300","  330",,"17.0","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-13","11.41",,,"0.00","0.0","0.0","30","33","25","   60","   50",,"23.0","31.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-14","10.96",,,"0.00","0.0","0.0","28","35","22","   20","  360",,"19.9","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-15","6.93",,,"0.00","0.0","0.0","30","36","26","  350","  340",,"14.1","18.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-16","12.08",,,"0.00","0.0","0.0","34","40","31","  330","  280",,"21.0","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-17","9.17",,,"0.00","0.0","0.0","31","34","26","  320","  340",,"19.9","25.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-18","7.61",,,"0.03","0.4","0.0","33","42","29","  310","  270",,"14.1","18.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-19","9.40",,,"0.34","0.0","0.0","36","39","32","   70","   80",,"16.1","19.0","    1",,,"    1",,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-20","20.36",,,"1.00","0.0","0.0","35","40","16","  310","  310",,"38.0","50.1","    1",,,"    1",,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-21","26.62",,,"0.00","0.0","0.0","13","16","5","  310","  280",,"38.0","50.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-22","10.74",,,"0.00","0.0","0.0","19","31","14","  310","  300",,"25.9","34.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-23","8.95",,,"0.00","0.0","0.0","34","47","30","  210","  220",,"16.1","21.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-24","16.78",,,"1.48","0.0","0.0","50","57","35","  290","  280",,"30.0","40.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-25","15.21",,,"0.00","0.0","0.0","37","40","29","  260","  270",,"30.0","38.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-26","9.40",,,"0.00","0.0","0.0","30","35","25","  270","  270",,"18.1","25.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-27","11.18",,,"0.00","0.0","0.0","38","49","29","  180","  180",,"25.9","35.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-28","9.17",,,"0.00","0.0","0.0","33","39","25","  340","  330",,"19.9","23.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-29","10.29",,,"0.27","0.0","0.0","32","44","25","  270","  160",,"19.9","25.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-30","19.69",,,"0.00","0.2","0.0","30","36","7","  290","  290",,"38.9","53.9","    1",,,,,,,"    1","    1",,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-01-31","14.54",,,"0.00","0.0","0.0","9","17","3","  270","  290",,"23.9","32.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-01","9.40",,,"0.00","0.0","0.0","16","22","12","  290","  280",,"19.9","28.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-02","10.29",,,"0.00","0.0","0.0","24","35","18","  240","  240",,"21.0","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-03","5.37",,,"0.00","0.0","0.0","39","52","31","  170","  250",,"15.0","18.1",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-04","5.14",,,"0.00","0.0","0.0","46","59","36","  160","  170",,"14.1","17.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-05","5.59",,,"0.00","0.0","0.0","49","65","36","  350","  340",,"17.0","21.9","    1",,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-06","10.51",,,"0.47","0.0","0.0","42","46","35","  110","  110",,"17.0","21.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-07","10.29",,,"0.11","0.0","0.0","41","44","37","   40","   40",,"23.9","29.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-08","14.09",,,"0.37","0.0","0.0","45","55","33","  270","  270",,"36.0","50.1","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-09","21.92",,,"0.00","0.0","0.0","31","33","24","  310","  300",,"36.0","48.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-10","8.95",,,"0.00","0.0","0.0","29","36","24","  260","  310",,"15.0","19.9",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-11","6.71",,,"0.00","0.0","0.0","34","37","31","   50","   60",,"14.1","19.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-12","15.21",,,"0.70","1.5","0.0","31","35","26","   60","   50",,"25.1","31.1","    1",,,"    1",,"    1",,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-13","15.88",,,"0.06","0.0","1.2","37","42","33","  280","  270",,"33.1","42.9","    1",,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-14","11.63",,,"0.00","0.0","0.0","37","46","33","  270","  270",,"23.9","31.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-15","9.40",,,"0.00","0.0","0.0","46","56","41","  320","  320",,"23.9","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-16","14.99",,,"0.00","0.0","0.0","42","46","32","  330","  330",,"25.1","30.0",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-17","9.17",,,"0.04","0.0","0.0","32","37","26","   30","  360",,"16.1","19.9",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-18","14.09",,,"0.10","0.0","0.0","36","42","26","  300","  310",,"31.1","38.0","    1",,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-19","13.42",,,"0.00","0.0","0.0","29","36","24","  310","  310",,"23.0","29.1",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2019-02-20","8.05",,,"0.59","1.4","0.0","29","32","26","   40","   50",,"16.1","19.9","    1","    1",,,,"    1",,"    1",,,,,,,,,,
